app_id,launch_date
AngelOne,11 December 2015
Cloudetradetech,26 June 2023
Dhan,08 November 2021
Groww,22 September 2016
HDFC,22 November 2012
IIFL Loans,12 October 2015
IIFL Markets,16 January 2015
Loanfront,03 March 2019
OTPUser,01 April 2019
Paytm,30 April 2012
SBI MF,14 January 2016
Smallcase,11 August 2017
Tata Capital,31 December 2018
Tickertape,25 February 2020
TrueBalance,17 October 2014
Uni,11 June 2021
abmm.heckyl.com,26 February 2018
ai.magenta.msjulyat,01 March 2020
ai.microfinance.vitto,11 October 2022
air.TataAIA.MasterApp.SecureLife,07 June 2017
air.app.scb.breeze.android.main.in.prod,14 May 2011
air.com.religare.iPhone,30 January 2014
annualproject.com.jainamsoftware,26 January 2018
app.instagst,15 June 2021
app.mentor.ai,16 August 2023
app.mintynft.android,15 October 2023
app.pay4me.app,01 June 2022
app.smartinvestment,06 March 2023
br.com.brasilbitcoin,17 February 2021
bulltrack.com.optiongreeks13,06 January 2016
cloud.effiasoft.justbillingstd,29 December 2016
co.indiagold.gold.buy.loan,27 June 2020
co.simplified.main,11 April 2023
com.FreeRechargeApp,29 November 2022
com.IhabZaidi.Invento,31 August 2023
com.LendingKart,28 October 2015
com.Markets.Mojo,09 January 2017
com.UsetoPay,24 May 2023
com.aaritya.sahi_trade_app,04 December 2024
com.abchlor.investonline,30 September 2019
com.acecredit.android,12 February 2023
com.acko.android,27 October 2019
com.adcbmobile.pfm,03 October 2018
com.adityabirlacapital.abconeapp,03 July 2021
com.adityabirlacapitaldigital.OneApp,28 March 2024
com.adityabirlawealth,30 January 2023
com.ahmedelshazly2020d.gmail.latestInvoices,09 October 2018
com.airtel.africa.selfcare,28 August 2019
com.akinfopark.snapay,28 November 2017
com.alahli.quickpay,10 March 2020
com.algos.utradealgos,05 April 2023
com.aliceblue.ekyc,28 January 2023
com.allindiabullion,23 May 2020
com.amrbadr12.oro_pocket,27 January 2020
com.androidapp.digikhata,22 February 2020
com.anumati,16 August 2024
com.apbl.merchant,22 November 2016
com.apnidukan.my_app,08 June 2021
com.app.banksathi,17 February 2020
com.app.bookmyforex,27 April 2016
com.app.faircent,24 May 2017
com.app.hdfc,19 July 2014
com.application.bficgold,01 February 2024
com.application.koinbazar,17 May 2021
com.arktechltd.MintCFD,31 August 2022
com.ashvfinance.loan,10 December 2022
com.augmont.augmont_android_customer_app,05 February 2021
com.autonom8.kinara,19 November 2021
com.avaxwallet,30 August 2022
com.axis.login,26 June 2013
com.axis.mbbank,26 August 2013
com.axis.mobile,26 August 2013
com.axisbank.neoforbusiness,18 August 2023
com.axisidp.mobile,15 November 2019
com.axismf.investorapp,09 April 2020
